# airlogOne,SW: A35V3.1,HW: HW35,SN: A225-254369,truemove:,HAND
time,lat,lon,alt,gpsAlt,speed,sink,heading,Qw,Qx,Qy,Qz,Ax,Ay,Az,Gx,Gy,Gz,mark,numSat,msg,b_sink
2025-06-21T08:40:46.00Z,53.451627,-0.531260,3502.4,3667.8,65.71,-6.26,106.1,0.1571,-0.9727,0.1478,-0.0861,0.099,-0.366,-0.916,2.100,1.190,-4.760,0,22,1,-8.10
2025-06-21T08:40:46.20Z,53.451596,-0.531069,3504.3,3670.3,65.76,-6.26,105.4,0.1754,-0.9702,0.1321,-0.1023,0.149,-0.303,-0.862,0.840,1.610,-2.590,0,21,2,-8.06
2025-06-21T08:40:46.40Z,53.451565,-0.530878,3506.3,3671.5,65.81,-6.22,105.1,0.1733,-0.9712,0.1256,-0.1047,0.147,-0.366,-0.976,4.060,1.890,-2.800,0,22,3,-8.02
2025-06-21T08:40:46.60Z,53.451536,-0.530686,3506.3,3671.5,65.81,-6.24,105.1,0.1733,-0.9712,0.1256,-0.1047,0.147,-0.366,-0.976,4.060,1.890,-2.800,0,21,4,-8.02
2025-06-21T08:40:46.80Z,53.451506,-0.530494,3507.7,3674.0,65.88,-6.20,104.6,0.1732,-0.9722,0.1140,-0.1091,0.187,-0.382,-0.959,-1.470,-1.190,-1.190,0,22,5,-8.11
2025-06-21T08:40:47.00Z,53.451478,-0.530302,3509.0,3675.2,65.93,-6.22,104.3,0.1686,-0.9736,0.1121,-0.1052,0.163,-0.414,-0.976,-2.240,-3.150,-0.560,0,21,6,-8.21
2025-06-21T08:40:47.20Z,53.451450,-0.530109,3509.0,3675.2,65.93,-6.32,104.3,0.1686,-0.9736,0.1121,-0.1052,0.163,-0.414,-0.976,-2.240,-3.150,-0.560,0,21,7,-8.21
2025-06-21T08:40:47.40Z,53.451423,-0.529916,3510.6,3677.9,65.98,-6.31,103.6,0.1613,-0.9761,0.1083,-0.0977,0.152,-0.434,-0.966,-0.770,0.910,-1.050,0,22,8,-8.20
2025-06-21T08:40:47.60Z,53.451397,-0.529722,3511.9,3679.1,65.98,-6.35,103.3,0.1619,-0.9761,0.1082,-0.0969,0.151,-0.378,-0.937,-1.260,-1.260,-0.280,0,22,9,-8.08
2025-06-21T08:40:47.80Z,53.451371,-0.529528,3513.4,3680.4,66.02,-6.39,102.9,0.1657,-0.9756,0.1064,-0.0973,0.139,-0.364,-0.970,-1.330,-0.980,0.630,0,21,10,-7.89
2025-06-21T08:40:48.00Z,53.451346,-0.529334,3513.4,3680.4,66.02,-6.39,102.9,0.1657,-0.9756,0.1064,-0.0973,0.139,-0.364,-0.970,-1.330,-0.980,0.630,0,21,11,-7.89
2025-06-21T08:40:48.20Z,53.451321,-0.529139,3515.1,3683.1,66.09,-6.43,102.4,0.1658,-0.9756,0.1077,-0.0957,0.107,-0.404,-0.967,3.150,5.530,0.210,0,21,12,-7.28
2025-06-21T08:40:48.40Z,53.451297,-0.528945,3517.1,3684.4,66.11,-6.42,102.0,0.1353,-0.9785,0.1207,-0.0981,0.087,-0.302,-0.954,-14.560,-14.210,10.150,0,20,13,-7.13
2025-06-21T08:40:48.60Z,53.451273,-0.528750,3517.1,3684.4,66.11,-6.41,102.0,0.1353,-0.9785,0.1207,-0.0981,0.087,-0.302,-0.954,-14.560,-14.210,10.150,0,22,14,-7.13
2025-06-21T08:40:48.80Z,53.451251,-0.528556,3518.7,3687.0,66.13,-6.45,101.5,0.1371,-0.9780,0.1238,-0.0966,0.209,-0.236,-0.945,8.330,5.320,-3.360,0,22,15,-7.06
2025-06-21T08:40:49.00Z,53.451229,-0.528361,3521.3,3688.3,65.96,-6.46,101.0,0.1378,-0.9771,0.1215,-0.1078,0.223,-0.335,-0.923,8.680,3.080,0.070,0,20,16,-7.23
2025-06-21T08:40:49.20Z,53.451207,-0.528166,3521.3,3688.3,65.96,-6.49,101.0,0.1378,-0.9771,0.1215,-0.1078,0.223,-0.335,-0.923,8.680,3.080,0.070,0,21,17,-7.23
2025-06-21T08:40:49.40Z,53.451186,-0.527971,3523.3,3691.0,66.03,-6.51,100.6,0.1458,-0.9766,0.1203,-0.1029,0.141,-0.328,-0.924,0.000,0.000,0.000,0,21,18,-7.65
2025-06-21T08:40:49.60Z,53.451166,-0.527775,3525.5,3692.3,66.05,-6.51,100.4,0.1467,-0.9771,0.1178,-0.0999,0.140,-0.315,-0.954,1.610,-0.980,-1.820,0,21,19,-8.18
2025-06-21T08:40:49.80Z,53.451146,-0.527580,3525.5,3692.3,66.05,-6.54,100.4,0.1467,-0.9771,0.1178,-0.0999,0.140,-0.315,-0.954,1.610,-0.980,-1.820,0,21,20,-8.18
2025-06-21T08:40:50.00Z,53.451126,-0.527383,3527.4,3695.0,66.08,-6.56,99.8,0.1483,-0.9780,0.1097,-0.0972,0.145,-0.356,-0.921,1.330,-1.540,-2.380,0,21,21,-8.60
2025-06-21T08:40:50.20Z,53.451107,-0.527187,3530.3,3696.3,66.12,-6.55,99.5,0.1499,-0.9780,0.1067,-0.0980,0.129,-0.309,-0.909,-0.420,0.910,-3.640,0,20,22,-9.21
2025-06-21T08:40:50.40Z,53.451089,-0.526991,3531.6,3697.6,66.15,-6.57,99.2,0.1468,-0.9795,0.1038,-0.0911,0.120,-0.329,-0.976,-4.340,-2.310,-1.400,0,19,23,-9.44
2025-06-21T08:40:50.60Z,53.451071,-0.526794,3531.6,3697.6,66.15,-6.57,99.2,0.1468,-0.9795,0.1038,-0.0911,0.120,-0.329,-0.976,-4.340,-2.310,-1.400,0,21,24,-9.44
2025-06-21T08:40:50.80Z,53.451054,-0.526598,3533.2,3700.3,66.20,-6.53,98.7,0.1512,-0.9800,0.0988,-0.0837,0.168,-0.414,-0.977,3.850,3.850,-4.130,0,22,25,-9.03
